codi;municipi;comarca;any;Lloguer_Mitja;Població;Poblacio_Estrangera_Total;Percentatge_Poblacio_Estrangera;Preu / m2 Habitatge total;Compres totals;Rati_VPO;Rati_Obra_Nova;RFDB_Nominal;IPC_Index;Lloguer_Real;RFDB_Real;Tasa_Esforç_Lloguer;Preu_Vivenda_Mig;Anys_Salari_Compra;Tasa_Esforç_Compra;provincia;distancia_km;costa
08056;Castelldefels;Baix Llobregat;2025;1113,2812040;697019;168330;24,15;4702,85;610;0,00000000000000e+00;1,14754098360656e+01;21142;100,0;1113,281204000000;21142,0000000000;63,1887922050894;423256,5;20,01970012297796;91,1382556641997;Barcelona;22;1
08067;Centelles;Osona;2025;619,0693827;78552;5750;7,32;1827,63;66;0,00000000000000e+00;3,48484848484849e+01;18807;100,0;619,069382700000;18807,0000000000;39,5003594002233;164486,7;8,74603605040676;39,8157047664962;Barcelona;54;0
08068;Cervelló;Baix Llobregat;2025;991,2923810;97236;8090;8,32;2119,23;128;0,00000000000000e+00;1,40625000000000e+01;20781;100,0;991,292381000000;20781,0000000000;57,2422336364949;190730,7;9,17812906019922;41,7827773477673;Barcelona;25;0
08072;Corbera de Llobregat;Baix Llobregat;2025;835,3420192;160400;17660;11,01;2015,68;156;0,00000000000000e+00;1,73076923076923e+01;21132;100,0;835,342019200000;21132,0000000000;47,4356626462237;181411,2;8,58466780200000;39,0810873369669;Barcelona;30;0
08073;Cornellà de Llobregat;Baix Llobregat;2025;790,6573988;922348;170450;18,48;3023,96;677;0,00000000000000e+00;6,35155096011817e+00;18101;100,0;790,657398800000;18101,0000000000;52,4163791260151;272156,4;15,03543450638086;68,4477422562429;Barcelona;12;0
08074;Cubelles;Garraf;2025;639,6956475;176505;24340;13,79;2684,99;298;0,00000000000000e+00;1,97986577181208e+01;18171;100,0;639,695647500000;18171,0000000000;42,2450485388806;241649,1;13,29861317483903;60,5409871308045;Barcelona;50;1
08075;Dosrius;Maresme;2025;1017,7312500;63102;4190;6,64;2152,25;80;0,00000000000000e+00;2,00000000000000e+01;19560;100,0;1017,731250000000;19560,0000000000;62,4375000000000;193702,5;9,90299079754601;45,0826586613581;Barcelona;39;0
08076;Esparreguera;Baix Llobregat;2025;709,9407407;226421;20310;8,97;2240,34;311;0,00000000000000e+00;6,43086816720257e-01;18887;100,0;709,940740700000;18887,0000000000;45,1066283073013;201630,6;10,67562873934452;48,6000377351172;Barcelona;39;0
08077;Esplugues de Llobregat;Baix Llobregat;2025;1420,3853280;484379;77210;15,94;4470,81;408;0,00000000000000e+00;3,28431372549020e+01;22009;100,0;1420,385328000000;22009,0000000000;77,4438817574628;402372,9;18,28219819164887;83,2284021568158;Barcelona;8;0
08086;Franqueses del Vallès, les;Vallès Oriental;2025;697,6628718;208516;25710;12,33;2681,03;185;3,24324324324324e+00;2,54054054054054e+01;18472;100,0;697,662871800000;18472,0000000000;45,3224039714162;241292,7;13,06261909917713;59,4666409482548;Barcelona;35;0
08088;Garriga, la;Vallès Oriental;2025;877,8872845;173927;16610;9,55;2707,20;152;0,00000000000000e+00;4,14473684210526e+01;20947;100,0;877,887284500000;20947,0000000000;50,2919148995083;243648,0;11,63164176254356;52,9522187763614;Barcelona;38;0
08089;Gavà;Baix Llobregat;2025;1078,7545930;481927;64530;13,39;3688,26;407;1,22850122850123e+00;2,94840294840295e+01;20261;100,0;1078,754593000000;20261,0000000000;63,8914916144317;331943,4;16,38336705986871;74,5841089811806;Barcelona;20;1
08091;Gelida;Alt Penedès;2025;665,7875000;81897;9500;11,60;1744,42;109;0,00000000000000e+00;4,49541284403670e+01;18453;100,0;665,787500000000;18453,0000000000;43,2962120000000;156997,8;8,50798244200000;38,7319827076002;Barcelona;35;0
08092;Gironella;Berguedà;2025;437,4118391;50824;6170;12,14;942,46;53;0,00000000000000e+00;9,43396226415094e+00;17765;100,0;437,411839100000;17765,0000000000;29,5465357117929;84821,4;4,77463551927948;21,7361873547751;Barcelona;94;0
08096;Granollers;Vallès Oriental;2025;782,5999429;651359;110210;16,92;2558,37;663;4,52488687782805e-01;2,62443438914027e+01;19180;100,0;782,599942900000;19180,0000000000;48,9635000771637;230253,3;12,00486444212721;54,6512883819311;Barcelona;30;0
08101;Hospitalet de Llobregat, l';Barcelonès;2025;831,9308790;2921470;798730;27,34;3068,06;2844;3,69198312236287e+03;2,80239099900000e+04;16747;100,0;831,930879000000;16747,0000000000;59,6116949184929;276125,4;16,48805159132979;75,0606778375460;Barcelona;0;0
08102;Igualada;Anoia;2025;565,4519184;424453;64050;15,09;1581,57;339;0,00000000000000e+00;6,48967551622419e+00;18102;100,0;565,451918400000;18102,0000000000;37,4843830600000;142341,3;7,86329134902221;35,7970725299093;Barcelona;65;0
08105;Llagosta, la;Vallès Oriental;2025;714,0463636;132570;18520;13,97;2247,98;113;8,84955752212389e-01;1,68141592900000e+01;17212;100,0;714,046363600000;17212,0000000000;49,7824562119452;202318,2;11,75448524285382;53,5114549510504;Barcelona;19;0
08106;Llinars del Vallès;Vallès Oriental;2025;765,2459200;109261;9910;9,07;2598,75;165;0,00000000000000e+00;4,60606060606061e+01;19866;100,0;765,245920000000;19866,0000000000;46,2244590758079;233887,5;11,77325581395349;53,5969066360075;Barcelona;41;0
08107;Lliçà d'Amunt;Vallès Oriental;2025;789,8018367;165183;6310;3,82;1780,60;154;0,00000000000000e+00;2,07792207792208e+01;20186;100,0;789,801836700000;20186,0000000000;46,9514616090360;160254,0;7,93886852273853;36,1411322180277;Barcelona;32;0
08108;Lliçà de Vall;Vallès Oriental;2025;935,7095455;68928;3150;4,57;2138,16;65;0,00000000000000e+00;4,46153846153846e+01;21543;100,0;935,709545500000;21543,0000000000;52,1214062386854;192434,4;8,93257206517198;40,6648966574747;Barcelona;28;0
08110;Malgrat de Mar;Maresme;2025;660,1359060;196315;27700;14,11;2317,51;285;0,00000000000000e+00;3,47368421052632e+01;16442;100,0;660,135906000000;16442,0000000000;48,1792414061550;208575,9;12,68555528524510;57,7500848527710;Barcelona;62;1
08112;Manlleu;Osona;2025;508,7996053;213172;53570;25,13;1071,04;191;0,00000000000000e+00;1,57068062827225e+00;16479;100,0;508,799605300000;16479,0000000000;37,0507631749499;96393,6;5,84948115783725;26,6293453943399;Barcelona;78;0
08113;Manresa;Bages;2025;590,7036323;806831;177180;21,96;1500,54;917;5,45256270447110e-01;9,05125408942203e+00;17645;100,0;590,703632300000;17645,0000000000;40,1725337920091;135048,6;7,65364692547464;34,8426812575884;Barcelona;55;0
08114;Martorell;Baix Llobregat;2025;778,2015745;289970;48570;16,75;2335,88;239;0,00000000000000e+00;2,34309623430962e+01;17287;100,0;778,201574500000;17287,0000000000;54,0198929484584;210229,2;12,16111528894545;55,3626092077972;Barcelona;32;0
08118;Masnou, el;Maresme;2025;1022,6592470;247356;31810;12,86;3756,32;190;1,57894736842105e+00;1,15789473684211e+01;22480;100,0;1022,659247000000;22480,0000000000;54,5903512633452;338068,8;15,03864768683274;68,4623700308708;Barcelona;19;1
08119;Masquefa;Anoia;2025;668,6258730;101048;7710;7,63;1868,00;102;0,00000000000000e+00;1,47058823529412e+01;17127;100,0;668,625873000000;17127,0000000000;46,8471447188649;168120,0;9,81607987388334;44,6870028856910;Barcelona;46;0
08120;Matadepera;Vallès Occidental;2025;1264,2353450;98174;4300;4,38;2779,34;42;0,00000000000000e+00;2,38095238095238e+00;29265;100,0;1264,235345000000;29265,0000000000;51,8394810866222;250140,6;8,54743208610969;38,9115743967683;Barcelona;32;0
08121;Mataró;Maresme;2025;770,7701433;1313610;227780;17,34;2456,94;1280;1,56250000000000e+02;1,95312500000000e+04;17469;100,0;770,770143300000;17469,0000000000;52,9466009479650;221124,6;12,65811437403400;57,6251620600000;Barcelona;31;1
08123;Molins de Rei;Baix Llobregat;2025;880,4383333;272872;24040;8,81;3358,17;210;4,76190476190476e-01;3,71428571428571e+01;21698;100,0;880,438333300000;21698,0000000000;48,6923218711402;302235,3;13,92917780440594;63,4115875928119;Barcelona;18;0
