codi;municipi;comarca;any;Lloguer_Mitja;Població;Poblacio_Estrangera_Total;Percentatge_Poblacio_Estrangera;Preu / m2 Habitatge total;Compres totals;Rati_VPO;Rati_Obra_Nova;RFDB_Nominal;IPC_Index;Lloguer_Real;RFDB_Real;Tasa_Esforç_Lloguer;Preu_Vivenda_Mig;Anys_Salari_Compra;Tasa_Esforç_Compra
08072;Corbera de Llobregat;Baix Llobregat;2025;835,3420192;160400;17660;11,01;2015,68;156;0;17,307692307692307;21132;100;835,3420192;21132;47,43566264622373;181411,2;8,584667802;39,08108733696687
08073;Cornellà de Llobregat;Baix Llobregat;2025;790,6573988;922348;170450;18,48;3023,96;677;0;6,3515509601181686;18101;100;790,6573988;18101;52,41637912601513;272156,4;15,035434506380865;68,44774225624288
08074;Cubelles;Garraf;2025;639,6956475;176505;24340;13,79;2684,99;298;0;19,798657718120804;18171;100;639,6956475;18171;42,24504853888063;241649,09999999998;13,298613174839028;60,54098713080447
08075;Dosrius;Maresme;2025;1017,73125;63102;4190;6,64;2152,25;80;0;20;19560;100;1017,73125;19560;62,437500000000014;193702,5;9,902990797546012;45,08265866135814
08076;Esparreguera;Baix Llobregat;2025;709,9407407;226421;20310;8,97;2240,34;311;0;0,6430868167202572;18887;100;709,9407407;18887;45,10662830730132;201630,6;10,675628739344523;48,600037735117176
08077;Esplugues de Llobregat;Baix Llobregat;2025;1420,385328;484379;77210;15,94;4470,81;408;0;32,84313725490196;22009;100;1420,385328;22009;77,44388175746285;402372,9;18,28219819164887;83,22840215681579
08086;Franqueses del Vallès, les;Vallès Oriental;2025;697,6628718;208516;25710;12,33;2681,03;185;3,2432432432432434;25,405405405405407;18472;100;697,6628718;18472;45,32240397141619;241292,7;13,062619099177134;59,46664094825482
08088;Garriga, la;Vallès Oriental;2025;877,8872845;173927;16610;9,55;2707,2;152;0;41,44736842105263;20947;100;877,8872845;20947;50,291914899508285;243647,99999999997;11,63164176254356;52,95221877636136
08089;Gavà;Baix Llobregat;2025;1078,754593;481927;64530;13,39;3688,26;407;1,2285012285012284;29,484029484029485;20261;100;1078,754593;20261;63,89149161443167;331943,4;16,383367059868714;74,58410898118056
08091;Gelida;Alt Penedès;2025;665,7875;81897;9500;11,6;1744,42;109;0;44,95412844036697;18453;100;665,7875;18453;43,296212;156997,80000000002;8,507982442;38,731982707600196
08092;Gironella;Berguedà;2025;437,4118391;50824;6170;12,14;942,46;53;0;9,433962264150944;17765;100;437,4118391;17765;29,546535711792853;84821,40000000001;4,7746355192794825;21,736187354775062
08096;Granollers;Vallès Oriental;2025;782,5999429;651359;110210;16,92;2558,37;663;0,4524886877828055;26,244343891402718;19180;100;782,5999429;19180;48,963500077163715;230253,3;12,004864442127214;54,651288381931096
08101;Hospitalet de Llobregat, l';Barcelonès;2025;831,930879;2921470;798730;27,34;3068,06;2.844;3691,983122362869;28023,90999;16747;100;831,930879;16747;59,611694918492866;276125,4;16,488051591329793;75,06067783754601
08102;Igualada;Anoia;2025;565,4519184;424453;64050;15,09;1581,57;339;0;6,489675516224189;18102;100;565,4519184;18102;37,48438306;142341,3;7,863291349022207;35,797072529909265
08105;Llagosta, la;Vallès Oriental;2025;714,0463636;132570;18520;13,97;2247,98;113;0,8849557522123894;16,81415929;17212;100;714,0463636;17212;49,78245621194515;202318,2;11,754485242853823;53,51145495105044
08106;Llinars del Vallès;Vallès Oriental;2025;765,24592;109261;9910;9,07;2598,75;165;0;46,06060606060606;19866;100;765,24592;19866;46,224459075807914;233887,5;11,773255813953488;53,596906636007525
08107;Lliçà d'Amunt;Vallès Oriental;2025;789,8018367;165183;6310;3,82;1780,6;154;0;20,77922077922078;20186;100;789,8018367;20186;46,95146160903597;160254;7,938868522738532;36,141132218027685
08108;Lliçà de Vall;Vallès Oriental;2025;935,7095455;68928;3150;4,57;2138,16;65;0;44,61538461538462;21543;100;935,7095455;21543;52,12140623868542;192434,4;8,932572065171982;40,664896657474685
08110;Malgrat de Mar;Maresme;2025;660,135906;196315;27700;14,11;2317,51;285;0;34,73684210526316;16442;100;660,135906;16442;48,179241406154965;208575,90000000002;12,685555285245105;57,75008485277103
08112;Manlleu;Osona;2025;508,7996053;213172;53570;25,13;1071,04;191;0;1,5706806282722512;16479;100;508,7996053;16479;37,050763174949935;96393,59999999999;5,849481157837247;26,629345394339932
08113;Manresa;Bages;2025;590,7036323;806831;177180;21,96;1500,54;917;0,5452562704471101;9,051254089422029;17645;100;590,7036323;17645;40,17253379200907;135048,6;7,653646925474639;34,84268125758835
08114;Martorell;Baix Llobregat;2025;778,2015745;289970;48570;16,75;2335,88;239;0;23,430962343096233;17287;100;778,2015745;17287;54,019892948458384;210229,2;12,161115288945451;55,362609207797185
08118;Masnou, el;Maresme;2025;1022,659247;247356;31810;12,86;3756,32;190;1,5789473684210527;11,578947368421053;22480;100;1022,659247;22480;54,59035126334519;338068,8;15,03864768683274;68,46237003087082
08119;Masquefa;Anoia;2025;668,625873;101048;7710;7,63;1868;102;0;14,705882352941178;17127;100;668,625873;17127;46,847144718864946;168120;9,816079873883343;44,687002885691015
08120;Matadepera;Vallès Occidental;2025;1264,235345;98174;4300;4,38;2779,34;42;0;2,380952380952381;29265;100;1264,235345;29265;51,83948108662225;250140,6;8,547432086109687;38,911574396768295
08121;Mataró;Maresme;2025;770,7701433;1313610;227780;17,34;2456,94;1.280;156,25;19531,25;17469;100;770,7701433;17469;52,94660094796496;221124,6;12,658114374034003;57,62516206
08123;Molins de Rei;Baix Llobregat;2025;880,4383333;272872;24040;8,81;3358,17;210;0,4761904761904762;37,142857142857146;21698;100;880,4383333;21698;48,692321871140194;302235,3;13,929177804405935;63,41158759281187
08124;Mollet del Vallès;Vallès Oriental;2025;741,6453218;527488;75800;14,37;2414,03;601;5,324459234608985;29,11813643926789;18103;100;741,6453218;18103;49,161707239684034;217262,7;12,001474893664033;54,63585770452205
08125;Montcada i Reixac;Vallès Occidental;2025;725,9420325;374409;53840;14,38;2255,4;318;1,257861635220126;27,358490566037734;17556;100;725,9420325;17556;49,62009791524265;202986;11,562200956937799;52,63609446600957
08126;Montgat;Maresme;2025;1156,9782;128339;16530;12,88;3849,74;113;1,7699115044247788;8,849557522123893;21077;100;1156,9782;21077;65,87151113;346476,6;16,43861080798975;74,8356022
08135;Montmeló;Vallès Oriental;2025;715,1820968;88672;7280;8,21;2646,44;58;0;25,862068965517242;18643;100;715,1820968;18643;46,034356925387534;238179,6;12,775819342380519;58,16100552920279
08136;Montornès del Vallès;Vallès Oriental;2025;711,5854255;170625;21550;12,63;2289,92;150;3,3333333333333335;13,333333333333334;17821;100;711,5854255;17821;47,915521609337304;206092,80000000002;11,564603557600584;52,64703213401253
08138;Moià;Moianès;2025;524,5766667;68090;9730;14,29;1638,37;71;0;18,30985915492958;17819;100;524,5766667;17819;35,32701049666087;147453,3;8,275060329;37,67162141569369
08140;Navarcles;Bages;2025;532,87625;62788;5180;8,25;1486,16;58;0;34,48275862068966;19157;100;532,87625;19157;33,37952184580049;133754,4;6,982011797254267;31,78511028235936
08141;Navàs;Bages;2025;454,9028571;62437;7380;11,82;1037,79;53;1,8867924528301887;13,20754716981132;18716;100;454,9028571;18716;29,166671752511224;93401,09999999999;4,9904413336182945;22,718627918830105
08147;Olesa de Montserrat;Baix Llobregat;2025;680,1369872;250000;25100;10,04;2113,41;253;0;1,185770750988142;18211;100;680,1369872;18211;44,81710969;190206,9;10,444615891494152;47,548368236584736
08155;Palafolls;Maresme;2025;622,7111111;100268;7470;7,45;2225,39;136;0;23,52941176470588;17053;100;622,7111111;17053;43,81946480501965;200285,09999999998;11,744860141910513;53,46763736611276
08156;Palau-solità i Plegamans;Vallès Occidental;2025;846,4560674;155848;11860;7,61;2521,66;174;0;36,7816092;20270;100;846,4560674;20270;50,110867334977804;226949,4;11,196319684262457;50,97044609130915
08157;Pallejà;Baix Llobregat;2025;947,2307595;119722;8620;7,2;2877,82;95;0;18,947368421052634;20764;100;947,2307595;20764;54,74267537083413;259003,80000000002;12,473694856482375;56,785605374901984
08159;Parets del Vallès;Vallès Oriental;2025;846,2792437;188999;15290;8,09;2652,06;161;1,2422360248447204;12,422360248447205;19700;100;846,2792437;19700;51,55000469;238685,4;12,116010152284264;55,15727129
08161;Piera;Anoia;2025;660,098875;178921;17570;9,82;1584,39;228;0,43859649122807015;20,175438596491226;16673;100;660,098875;16673;47,509065555089066;142595,1;8,552456066694656;38,93444570973463
08163;Pineda de Mar;Maresme;2025;660,8641259;300648;51020;16,97;2369,45;382;0,5235602094240838;9,685863874;15624;100;660,8641259;15624;50,75761336;213250,49999999997;13,648905529953915;62,135668071156466
08167;Polinyà;Vallès Occidental;2025;785,3487755;85714;6480;7,56;2545,98;63;0;9,523809523809524;18506;100;785,3487755;18506;50,92502596995568;229138,2;12,38183291905328;56,367410462501056
